fill	x	y	showSelectedlegendfill	clickSelects
#F8766D	3.5	5.1	setosa	1
#F8766D	3	4.9	setosa	2
#F8766D	3.2	4.7	setosa	3
#F8766D	3.1	4.6	setosa	4
#F8766D	3.6	5	setosa	5
#F8766D	3.9	5.4	setosa	6
#F8766D	3.4	4.6	setosa	7
#F8766D	3.4	5	setosa	8
#F8766D	2.9	4.4	setosa	9
#F8766D	3.1	4.9	setosa	10
#F8766D	3.7	5.4	setosa	11
#F8766D	3.4	4.8	setosa	12
#F8766D	3	4.8	setosa	13
#F8766D	3	4.3	setosa	14
#F8766D	4	5.8	setosa	15
#F8766D	4.4	5.7	setosa	16
#F8766D	3.9	5.4	setosa	17
#F8766D	3.5	5.1	setosa	18
#F8766D	3.8	5.7	setosa	19
#F8766D	3.8	5.1	setosa	20
#F8766D	3.4	5.4	setosa	21
#F8766D	3.7	5.1	setosa	22
#F8766D	3.6	4.6	setosa	23
#F8766D	3.3	5.1	setosa	24
#F8766D	3.4	4.8	setosa	25
#F8766D	3	5	setosa	26
#F8766D	3.4	5	setosa	27
#F8766D	3.5	5.2	setosa	28
#F8766D	3.4	5.2	setosa	29
#F8766D	3.2	4.7	setosa	30
#F8766D	3.1	4.8	setosa	31
#F8766D	3.4	5.4	setosa	32
#F8766D	4.1	5.2	setosa	33
#F8766D	4.2	5.5	setosa	34
#F8766D	3.1	4.9	setosa	35
#F8766D	3.2	5	setosa	36
#F8766D	3.5	5.5	setosa	37
#F8766D	3.6	4.9	setosa	38
#F8766D	3	4.4	setosa	39
#F8766D	3.4	5.1	setosa	40
#F8766D	3.5	5	setosa	41
#F8766D	2.3	4.5	setosa	42
#F8766D	3.2	4.4	setosa	43
#F8766D	3.5	5	setosa	44
#F8766D	3.8	5.1	setosa	45
#F8766D	3	4.8	setosa	46
#F8766D	3.8	5.1	setosa	47
#F8766D	3.2	4.6	setosa	48
#F8766D	3.7	5.3	setosa	49
#F8766D	3.3	5	setosa	50
#00BA38	3.2	7	versicolor	51
#00BA38	3.2	6.4	versicolor	52
#00BA38	3.1	6.9	versicolor	53
#00BA38	2.3	5.5	versicolor	54
#00BA38	2.8	6.5	versicolor	55
#00BA38	2.8	5.7	versicolor	56
#00BA38	3.3	6.3	versicolor	57
#00BA38	2.4	4.9	versicolor	58
#00BA38	2.9	6.6	versicolor	59
#00BA38	2.7	5.2	versicolor	60
#00BA38	2	5	versicolor	61
#00BA38	3	5.9	versicolor	62
#00BA38	2.2	6	versicolor	63
#00BA38	2.9	6.1	versicolor	64
#00BA38	2.9	5.6	versicolor	65
#00BA38	3.1	6.7	versicolor	66
#00BA38	3	5.6	versicolor	67
#00BA38	2.7	5.8	versicolor	68
#00BA38	2.2	6.2	versicolor	69
#00BA38	2.5	5.6	versicolor	70
#00BA38	3.2	5.9	versicolor	71
#00BA38	2.8	6.1	versicolor	72
#00BA38	2.5	6.3	versicolor	73
#00BA38	2.8	6.1	versicolor	74
#00BA38	2.9	6.4	versicolor	75
#00BA38	3	6.6	versicolor	76
#00BA38	2.8	6.8	versicolor	77
#00BA38	3	6.7	versicolor	78
#00BA38	2.9	6	versicolor	79
#00BA38	2.6	5.7	versicolor	80
#00BA38	2.4	5.5	versicolor	81
#00BA38	2.4	5.5	versicolor	82
#00BA38	2.7	5.8	versicolor	83
#00BA38	2.7	6	versicolor	84
#00BA38	3	5.4	versicolor	85
#00BA38	3.4	6	versicolor	86
#00BA38	3.1	6.7	versicolor	87
#00BA38	2.3	6.3	versicolor	88
#00BA38	3	5.6	versicolor	89
#00BA38	2.5	5.5	versicolor	90
#00BA38	2.6	5.5	versicolor	91
#00BA38	3	6.1	versicolor	92
#00BA38	2.6	5.8	versicolor	93
#00BA38	2.3	5	versicolor	94
#00BA38	2.7	5.6	versicolor	95
#00BA38	3	5.7	versicolor	96
#00BA38	2.9	5.7	versicolor	97
#00BA38	2.9	6.2	versicolor	98
#00BA38	2.5	5.1	versicolor	99
#00BA38	2.8	5.7	versicolor	100
#619CFF	3.3	6.3	virginica	101
#619CFF	2.7	5.8	virginica	102
#619CFF	3	7.1	virginica	103
#619CFF	2.9	6.3	virginica	104
#619CFF	3	6.5	virginica	105
#619CFF	3	7.6	virginica	106
#619CFF	2.5	4.9	virginica	107
#619CFF	2.9	7.3	virginica	108
#619CFF	2.5	6.7	virginica	109
#619CFF	3.6	7.2	virginica	110
#619CFF	3.2	6.5	virginica	111
#619CFF	2.7	6.4	virginica	112
#619CFF	3	6.8	virginica	113
#619CFF	2.5	5.7	virginica	114
#619CFF	2.8	5.8	virginica	115
#619CFF	3.2	6.4	virginica	116
#619CFF	3	6.5	virginica	117
#619CFF	3.8	7.7	virginica	118
#619CFF	2.6	7.7	virginica	119
#619CFF	2.2	6	virginica	120
#619CFF	3.2	6.9	virginica	121
#619CFF	2.8	5.6	virginica	122
#619CFF	2.8	7.7	virginica	123
#619CFF	2.7	6.3	virginica	124
#619CFF	3.3	6.7	virginica	125
#619CFF	3.2	7.2	virginica	126
#619CFF	2.8	6.2	virginica	127
#619CFF	3	6.1	virginica	128
#619CFF	2.8	6.4	virginica	129
#619CFF	3	7.2	virginica	130
#619CFF	2.8	7.4	virginica	131
#619CFF	3.8	7.9	virginica	132
#619CFF	2.8	6.4	virginica	133
#619CFF	2.8	6.3	virginica	134
#619CFF	2.6	6.1	virginica	135
#619CFF	3	7.7	virginica	136
#619CFF	3.4	6.3	virginica	137
#619CFF	3.1	6.4	virginica	138
#619CFF	3	6	virginica	139
#619CFF	3.1	6.9	virginica	140
